pitch,angle,speed,spin,run,frame,src_frame,total,spread,meanSignal,fovea_total,mid_total,far_total,delta_total,corr_prev,PC1,PC2,PC3,PC4,PC5
cb,0deg,speed+3,spin+500,run36,1,1,595441.723828623,179.848754596219,155.793229677819,188.284679266859,0,595253.439149356,NaN,NaN,-3463.66357003393,-1782.5981126237,-1153.05662400652,-797.000254594952,-649.218207060313
cb,0deg,speed+3,spin+500,run36,2,2,600186.552554692,180.233233471154,157.034681463813,188.1368496629,0,599998.415705029,4744.82872606872,0.999426129997672,-3466.24961364059,-1797.51346912941,-1169.34173386894,-797.538722534406,-650.541925712167
cb,0deg,speed+3,spin+500,run36,3,4,600104.748916674,180.137653435074,157.013278104834,188.15577418096,0,599916.593142493,-81.8036380175035,0.999979677253829,-3466.34184404787,-1791.92146519098,-1161.88357935416,-793.073609707119,-643.181447692075
cb,0deg,speed+3,spin+500,run36,4,5,600082.288163955,180.091304082496,157.007401403442,188.167569606526,0,599894.120594349,-22.4607527190819,0.999995162387831,-3466.32981837107,-1788.67465685298,-1157.8090177692,-790.370626927149,-639.305371213724
cb,0deg,speed+3,spin+500,run36,5,7,600085.65862141,180.004508843476,157.008283260442,188.19614425512,0,599897.462477155,3.3704574550502,0.999980736489179,-3466.34381279966,-1781.52667255597,-1148.25165014635,-784.423099073875,-630.573745240526
cb,0deg,speed+3,spin+500,run36,6,8,600097.283665064,179.96251121575,157.01132487312,188.213074962943,0,599909.070590101,11.6250436534174,0.999995027687232,-3466.43410326097,-1777.3438510284,-1142.62266791997,-780.998250398516,-625.363368025135
cb,0deg,speed+3,spin+500,run36,7,10,600195.651299912,179.88813624575,157.037062087889,188.254347425916,0,600007.396952486,98.367634847993,0.999979241938753,-3466.81761821944,-1768.09491419244,-1130.14509619053,-773.133112646526,-614.390797425852
cb,0deg,speed+3,spin+500,run36,8,11,600247.935165683,179.846760496572,157.050741801592,188.276735909546,0,600059.658429773,52.2838657713728,0.999994351044514,-3466.86411725667,-1762.78961612793,-1123.20620135714,-768.663432160216,-608.117136957008
cb,0deg,speed+3,spin+500,run36,9,13,600422.061684451,179.77264242621,157.096300807025,188.32772922245,0,600233.733955228,174.126518767676,0.999975607016709,-3467.03452052096,-1751.00529672423,-1107.82043431669,-758.185571912907,-594.266402369102
cb,0deg,speed+3,spin+500,run36,10,14,600506.728040385,179.731711556806,157.118453176448,188.354150373942,0,600318.373890011,84.6663559345761,0.999993316303667,-3466.95126622225,-1744.70613138183,-1099.62316276523,-752.570522323503,-587.022640740287
